,Name,Description,Designator,Part Number,Price,Qty
,"10uF, 22uF, 1uF",Capacitor SMD 1206,"C1, C4, C5, C6, C8","Panasonic EEE-FK1C102SP, ",5.99,5
,100nF,Capacitor SMD 0603,"C2, C11, C14, C15, C16, C21, C22, C23, C24, C25, C26, C29, C30, C32, C33, C35",,,16
,100pF,Capacitor SMD 0603,"C3, C18",,,2
,18pF,Capacitor SMD 0603,"C12, C13",,,2
,4.7nF,Capacitor SMD 0603,C17,,,1
,2u2,Capacitor SMD 0603,"C19, C20",,,2
,22uF,Capacitor SMD 0603,"C27, C28",,,2
,"14pF, 33pF, 100nF, 4.7pH, 3.3pF, 100uF, 10uF, 1.8pF, 100pF, 2.2uF, 47pF, 10nF",Capacitor SMD 0402,"C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C53, C54, C55, C56","Panasonic EEE-FK1C102SP, ",11.381,19
,100nF,Capacitor SMD 0603,"C51, C52","Panasonic EEE-FK1C102SP, ",2.4,2
,SS12,"Schottky Rectifier, 20 V, 1 A, -65 to 125 degC, 2-Pin DO-214AC, RoHS, Tape and Reel","D2, D6, D7","onsemi SS12, ",0.615,3
,SK6805-EC15,RGB LED SMD Addressable,D4,OPSCO SK6805-EC15,,1
,USBLC6-2SC6,Low-Capacitance ESD Protection USB,D5,,,1
,D_TVS_BI_0603,Diode TVS / ESD Bidirectional 0603,"D8, D9","Littelfuse SP3420-04UTG, ",1.76,2
,HSMG-C190,"LED Uni-Color Green, 52 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",DS1,Broadcom Avago HSMG-C190,0.28,1
,TYPE-C-31-M-12,USB Type C Connector Horizontal SMT,J1,,,1
,87224-3,CONN HEADER VERT 3POS 2.54MM,"J2, J3, J4","TE Connectivity 87224-3, ",1.308,3
,691103110002,,"J7, J8, J9, J10, J13, J15","Wurth Electronics 691103110002, ",4.74,6
,MEM2061-01-188-00-A,Micro SD Card Holder Push-Push SMD,J11,,,1
,CON-SMA-EDGE-S,RF Connector SMA Female 50 Ohms 18 GHz PCB Edge Mount,J12,RF Solutions CON-SMA-EDGE-S,2.52,1
,U.FL-R-SMT-1(10),"RF Connector, 1 Contact(s), Male, Board Mount, Surface Mount Terminal, Receptacle",J14,Hirose U.FL-R-SMT-1(10),0.898,1
,IHLP2020BZER100M01,Fixed Inductors Commercial High Saturation Series 10uH 2.3A 199mΩ 20%,L1,Vishay Dale IHLP2020BZER100M01,0.6429,1
,"100nH, 3.3nH, 6.2pH, 11nH, 22nH, 4.7nH, 27nH",Inductor SMD 0402,"L2, L3, L4, L5, L6, L7, L8, L9, L10",,,9
,KPEG242,Piezo Electric devices,LS1,Kingstate KPEG242,1.65669,1
,MAX-M10S-00B,"GNSS LCC RX, ROM, TCXO, LNA, SAW",MD1,u-blox MAX-M10S-00B,16.9,1
